Year,Receptor,Species,Methods,Raw_Text_Methods,Brain_Regions,Topic_Spec
1997,5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(22 u'\\bbuspirone');(13 u'\\bagonist'),(8 u'(?i)\\b(centrals|central)(-|\\s+)?(nervouses|nervous)(-|\\s+)?(systems|system)\\b'),(7 u'\\bdepressi');(31 u'\\brespiratory');(4 u'\\btreatment'),
1990,5ht1a;5ht1a,,Method.AGONIST,(24 u'\\bgepirone');(13 u'\\bagonist'),,(7 u'\\bdepressi');(1 u'\\bpatient'),
1991,5ht3;5ht3,,Method.ANTAGONIST,(20 u'\\bondansetron');(12 u'\\bantagonist'),,(14 u'\\bcogniti');(26 u'\\bbehav');(16 u'\\blearning'),
2020,5ht2a;5ht2;5ht5;5ht2a;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2,(4 u'(?i)\\b(rats|rat)\\b'),Method.IMMUNOHISTOCHEMISTRY;Method.AGONIST;Method.STAINING,(13 u'\\bagonist'),(8 u'(?i)\\b(centrals|central)(-|\\s+)?(nervouses|nervous)(-|\\s+)?(systems|system)\\b'),(4 u'\\btreatment'),
2016,5ht2a;5ht2a;5ht2a;5ht2a;5ht2c;5ht2a;5ht2c;5ht2a;5ht2a,(3 u'(?i)\\b(males|male)\\b'),Method.PET;Method.AGONIST;Method.ANTAGONIST,(1 u'\\bneuroimag');(12 u'\\bantagonist');(18 u'\\bimaging');(13 u'\\bagonist');(19 u'\\bpositron emission tomography');(17 u'\\bpet'),(11 u'(?i)\\b(cerebrals|cerebral)\\b'),,
2008,5ht2a;5ht2a;5ht2a;5ht2a;5ht2a,,Method.PET;Method.AGONIST;Method.ANTAGONIST,(19 u'\\bpositron emission tomography');(13 u'\\bagonist');(12 u'\\bantagonist');(17 u'\\bpet'),,(3 u'\\bclinical');(23 u'\\bantipsychotic'),
2005,5ht1a;5ht1a;5ht1a,(6 u'(?i)\\b(rodents|rodent)\\b');(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist'),,(34 u'\\bparkinson');(4 u'\\btreatment');(26 u'\\bbehav');(27 u'\\bdyskinesia');(1 u'\\bpatient'),
1995,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist'),(4 u'(?i)\\b(presynaptics|presynaptic)\\b');(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),(24 u'\\banxiolytic');(8 u'\\banxi'),
2006,5ht1a;5ht1a;5ht2a;5ht1a;5ht2a;5ht1a;5ht1a;5ht2a;5ht2a,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(15 u'\\b8ohdpat');(51 u'\\bway100635');(50 u'\\bm100907');(12 u'\\bantagonist'),(21 u'(?i)\\b(mpfcs|mpfc)\\b');(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(14 u'\\bcogniti');(22 u'\\bschizophreni');(2 u'\\bdisorder'),
2007,5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist'),(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(4 u'\\btreatment'),
2015,5ht3;5ht3,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.ANTAGONIST,(20 u'\\bondansetron');(12 u'\\bantagonist'),,(4 u'\\btreatment');(26 u'\\bbehav');(13 u'\\bantidepress');(3 u'\\bclinical');(30 u'\\bpain');(5 u'\\btherap'),
2003,5ht1a;5ht1;5ht2a;5ht2a;5ht2a;5ht2;5ht2c;5ht2;5ht1d,,Method.ANTAGONIST,(12 u'\\bantagonist'),,(20 u'\\bmood');(22 u'\\bschizophreni');(13 u'\\bantidepress');(1 u'\\bpatient');(3 u'\\bclinical');(2 u'\\bdisorder');(14 u'\\bcogniti');(23 u'\\bantipsychotic');(19 u'\\bpsychosis'),
2010,5ht1a;5ht2a;5ht1a;5ht2a;5ht1a;5ht2a;5ht1a;5ht2a;5ht1a;5ht2a;5ht1a;5ht2a;5ht1a;5ht2a;5ht2a,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.KNOCKOUT;Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(12 u'\\bantagonist');(23 u'\\bmdl');(13 u'\\bagonist');(4 u'\\bpcpa');(49 u'\\bdoi'),(4 u'(?i)\\b(presynaptics|presynaptic)\\b'),,
1991,5ht1b;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist'),,,
2010,5ht2c;5ht2c;5ht2c;5ht2a;5ht2c;5ht2c;5ht2b;5ht2c,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist'),,(4 u'\\btreatment');(26 u'\\bbehav');(9 u'\\bstress');(8 u'\\banxi');(33 u'\\blocomot');(24 u'\\banxiolytic');(25 u'\\bsocial'),
2009,5ht3;5ht3,,Method.AGONIST,(37 u'\\bpiperazine');(13 u'\\bagonist'),,,
1993,5ht1a;5ht1a;5ht1a;5ht1a;5ht1;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(21 u'\\bipsapirone');(46 u'\\bspiperone');(22 u'\\bbuspirone');(24 u'\\bgepirone');(13 u'\\bagonist'),,,
2014,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.IMMUNOHISTOCHEMISTRY;Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(3 u'\\bimmunoreactiv');(13 u'\\bagonist');(12 u'\\bantagonist'),(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),(4 u'\\btreatment');(26 u'\\bbehav');(9 u'\\bstress');(7 u'\\bdepressi');(2 u'\\bdisorder');(8 u'\\banxi'),
2005,5ht7;5ht7;5ht2;5ht2,,Method.AGONIST;Method.ANTAGONIST,(7 u'\\bpropranolol');(13 u'\\bagonist');(12 u'\\bantagonist');(34 u'\\b5ct'),(4 u'(?i)\\b(presynaptics|presynaptic)\\b');(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),,
1998,5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(21 u'\\bipsapirone');(13 u'\\bagonist'),(19 u'(?i)\\b(cortexes|cortex)\\b'),,
2009,5ht2a;5ht2;5ht2;5ht2a;5ht2c;5ht2c,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(49 u'\\bdoi');(13 u'\\bagonist');(53 u'\\bketanserin'),(23 u'(?i)\\b(forebrains|forebrain)\\b');(11 u'(?i)\\b(cerebrals|cerebral)\\b');(12 u'(?i)\\b(amygdalas|amygdala)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(26 u'\\bbehav'),
2005,5ht1a;5ht2a;5ht2a;5ht1a,,Method.PET,(18 u'\\bimaging');(19 u'\\bpositron emission tomography');(17 u'\\bpet'),,(20 u'\\bmood');(8 u'\\banxi');(2 u'\\bdisorder');(26 u'\\bbehav');(18 u'\\bavoidan'),
2001,5ht1b;5ht1b;5ht1b;5ht1d;5ht1b;5ht1b,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(6 u'\\bgr127935');(13 u'\\bagonist');(12 u'\\bantagonist'),(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),,
2002,5ht1a;5ht1a;5ht1b;5ht1b;5ht1b;5ht1a;5ht1a;5ht1b;5ht1;5ht1b;5ht1b;5ht1a;5ht1a;5ht1a;5ht1a;5ht1b;5ht1b;5ht5;5ht1a;5ht1;5ht1b;5ht1a;5ht1a;5ht1b,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.KNOCKOUT;Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist');(34 u'\\b5ct'),(12 u'(?i)\\b(amygdalas|amygdala)\\b'),,
1999,5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a,(2 u'(?i)\\b(females|female)\\b');(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(11 u'\\bfluoxetine');(9 u'\\britanserin');(12 u'\\bantagonist');(53 u'\\bketanserin'),,,
2003,5ht1a,,Method.ANTAGONIST,(11 u'\\bfluoxetine');(12 u'\\bantagonist'),,(33 u'\\blocomot');(26 u'\\bbehav');(29 u'\\bhyperactiv'),
2005,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,,Method.PET;Method.ANTAGONIST,(51 u'\\bway100635');(18 u'\\bimaging');(19 u'\\bpositron emission tomography');(12 u'\\bantagonist');(17 u'\\bpet'),(9 u'(?i)\\b(cerebellums|cerebellum)\\b'),(26 u'\\bbehav'),
2002,5ht1a;5ht2;5ht1a;5ht1a;5ht1a;5ht1a;5ht2a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(13 u'\\bagonist'),,(5 u'\\btherap'),
2012,5ht6;5ht6;5ht6;5ht6;5ht6;5ht6;5ht6;5ht6;5ht6;5ht2a;5ht2a;5ht6;5ht6,(4 u'(?i)\\b(rats|rat)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.ANTAGONIST,(41 u'\\bhaloperidol');(18 u'\\bimaging');(54 u'\\bautoradiography');(12 u'\\bantagonist');(40 u'\\bclozapine'),,(17 u'\\balzheimer');(14 u'\\bcogniti');(22 u'\\bschizophreni');(23 u'\\bantipsychotic'),
2002,5ht1a;5ht1a;5ht1a;5ht1a,,Method.AGONIST;Method.ANTAGONIST,(22 u'\\bbuspirone');(24 u'\\bgepirone');(13 u'\\bagonist');(12 u'\\bantagonist'),(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),,
1988,5ht5;5ht1;5ht1,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(46 u'\\bspiperone');(23 u'\\bmdl');(13 u'\\bagonist');(53 u'\\bketanserin'),,,
1994,5ht2;5ht1e;5ht6;5ht3;5ht5;5ht1;5ht4;5ht1f;5ht7,,Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist'),,,
2010,5ht3;5ht2c;5ht2c;5ht2c;5ht2c,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(33 u'\\bmcpp');(20 u'\\bondansetron');(13 u'\\bagonist');(12 u'\\bantagonist'),,(4 u'\\btreatment');(26 u'\\bbehav'),
1995,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(41 u'\\bhaloperidol');(13 u'\\bagonist');(12 u'\\bantagonist'),(15 u'(?i)\\b(substantias|substantia)(-|\\s+)?(nigras|nigra)\\b');(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),(26 u'\\bbehav'),
1993,5ht1b,,,(11 u'\\bfluoxetine'),,(4 u'\\btreatment');(2 u'\\bdisorder'),
2008,5ht3,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(12 u'\\bantagonist');(49 u'\\bdoi'),,,
2007,5ht2c;5ht2b;5ht2;5ht2;5ht2a;5ht2;5ht2;5ht2;5ht2;5ht2b;5ht2,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist');(53 u'\\bketanserin'),(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),(31 u'\\brespiratory');(2 u'\\bdisorder'),
1991,5ht2;5ht3;5ht1c;5ht2;5ht1a;5ht1c;5ht1c;5ht1c,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.ANTAGONIST,(15 u'\\b8ohdpat');(9 u'\\britanserin');(12 u'\\bantagonist'),,(26 u'\\bbehav'),
2001,5ht1b;5ht1d;5ht1b;5ht1d;5ht1b;5ht1d;5ht1b;5ht1d,(7 u'(?i)\\b(guineas|guinea)(-|\\s+)?(pigs|pig)\\b');(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(11 u'\\bfluoxetine');(39 u'\\bselective serotonin reuptake inhibitor');(12 u'\\bantagonist');(44 u'\\btetrodotoxin'),(19 u'(?i)\\b(cortexes|cortex)\\b'),(3 u'\\bclinical');(4 u'\\btreatment');(13 u'\\bantidepress'),
2004,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist');(12 u'\\bantagonist'),,,
2004,5ht2;5ht2a;5ht2,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(41 u'\\bhaloperidol');(40 u'\\bclozapine');(32 u'\\blesions');(12 u'\\bantagonist');(53 u'\\bketanserin'),,(4 u'\\btreatment');(26 u'\\bbehav');(22 u'\\bschizophreni');(3 u'\\bclinical');(23 u'\\bantipsychotic');(5 u'\\btherap'),
2008,5ht1a;5ht1a;5ht1;5ht1a;5ht1;5ht1a;5ht1,(3 u'(?i)\\b(males|male)\\b'),Method.PET;Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(12 u'\\bantagonist');(18 u'\\bimaging');(51 u'\\bway100635');(13 u'\\bagonist');(17 u'\\bpet'),,(17 u'\\balzheimer');(22 u'\\bschizophreni');(7 u'\\bdepressi');(2 u'\\bdisorder');(26 u'\\bbehav'),
1997,5ht2c;5ht2a;5ht2c;5ht2c,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(33 u'\\bmcpp');(13 u'\\bagonist');(12 u'\\bantagonist'),(19 u'(?i)\\b(cortexes|cortex)\\b'),(26 u'\\bbehav'),
2007,5ht2c;5ht1b;5ht1b;5ht2a;5ht2c;5ht2c;5ht1b;5ht2c;5ht2c;5ht2c;5ht2c;5ht1b,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST;Method.ANTAGONIST,(3 u'\\bimmunoreactiv');(13 u'\\bagonist');(12 u'\\bantagonist'),(12 u'(?i)\\b(amygdalas|amygdala)\\b'),(26 u'\\bbehav'),
2004,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b');(3 u'(?i)\\b(males|male)\\b'),Method.ANTAGONIST,(15 u'\\b8ohdpat');(12 u'\\bantagonist'),,,
2011,5ht2;5ht2;5ht2;5ht2c;5ht2,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.ANTAGONIST,(12 u'\\bantagonist'),,(33 u'\\blocomot');(26 u'\\bbehav');(4 u'\\btreatment'),
2017,5ht7;5ht7;5ht7;5ht7;5ht7;5ht7,(4 u'(?i)\\b(rats|rat)\\b');(3 u'(?i)\\b(males|male)\\b'),Method.STIMULATION,,,,
2015,5ht4;5ht4;5ht4;5ht4;5ht4,,Method.PET,(19 u'\\bpositron emission tomography'),(18 u'(?i)\\b(putamens|putamen)\\b');(17 u'(?i)\\b(caudates|caudate)\\b');(1 u'(?i)\\b(neocortexes|neocortex)\\b');(12 u'(?i)\\b(amygdalas|amygdala)\\b'),(26 u'\\bbehav'),
2016,,,Method.PET,(18 u'\\bimaging');(19 u'\\bpositron emission tomography');(1 u'\\bneuroimag');(17 u'\\bpet'),(11 u'(?i)\\b(cerebrals|cerebral)\\b'),(3 u'\\bclinical'),
1998,5ht2a;5ht2c;5ht2a;5ht2a;5ht2a;5ht2c;5ht2c;5ht2a;5ht2c;5ht2a;5ht2;5ht2c;5ht2c;5ht2a;5ht2c;5ht2c;5ht2a;5ht2;5ht2a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(49 u'\\bdoi');(13 u'\\bagonist');(12 u'\\bantagonist');(53 u'\\bketanserin'),,(26 u'\\bbehav'),
2013,5ht1a,(8 u'(?i)\\b(primates|primate)\\b'),Method.PET;Method.AGONIST,(18 u'\\bimaging');(19 u'\\bpositron emission tomography');(13 u'\\bagonist');(17 u'\\bpet'),(9 u'(?i)\\b(cerebellums|cerebellum)\\b'),(23 u'\\bantipsychotic'),
2011,5ht2;5ht2c;5ht2,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(12 u'\\bantagonist'),,(28 u'\\bgastrointestin');(8 u'\\banxi');(4 u'\\btreatment');(26 u'\\bbehav');(1 u'\\bpatient'),
2005,5ht2;5ht1a;5ht2;5ht1a;5ht1a;5ht2;5ht1a;5ht1a,,Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(22 u'\\bbuspirone');(12 u'\\bantagonist');(11 u'\\bfluoxetine');(51 u'\\bway100635');(9 u'\\britanserin');(13 u'\\bagonist');(49 u'\\bdoi'),,,
2009,5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(51 u'\\bway100635');(41 u'\\bhaloperidol');(13 u'\\bagonist');(12 u'\\bantagonist'),,(22 u'\\bschizophreni');(8 u'\\banxi');(23 u'\\bantipsychotic');(26 u'\\bbehav');(24 u'\\banxiolytic'),
2016,5ht1b;5ht2a;5ht2b;5ht1b;5ht1a;5ht1b;5ht2;5ht2c;5ht1;5ht2c;5ht1a;5ht2a;5ht2b,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(53 u'\\bketanserin'),,(33 u'\\blocomot');(26 u'\\bbehav'),
1994,5ht1;5ht3;5ht3;5ht2;5ht2;5ht2,(7 u'(?i)\\b(guineas|guinea)(-|\\s+)?(pigs|pig)\\b');(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(12 u'\\bantagonist');(53 u'\\bketanserin'),,,
2006,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(2 u'(?i)\\b(females|female)\\b'),,(15 u'\\b8ohdpat'),(19 u'(?i)\\b(cortexes|cortex)\\b'),(22 u'\\bschizophreni');(2 u'\\bdisorder'),
2003,5ht2a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(13 u'\\bagonist');(49 u'\\bdoi'),,(22 u'\\bschizophreni');(26 u'\\bbehav');(1 u'\\bpatient'),
2000,5ht6;5ht6;5ht6,(4 u'(?i)\\b(rats|rat)\\b'),,(3 u'\\bimmunoreactiv'),,,
2004,5ht2c;5ht2a;5ht2a;5ht2a;5ht2;5ht2a,(4 u'(?i)\\b(rats|rat)\\b');(3 u'(?i)\\b(males|male)\\b'),Method.AGONIST;Method.ANTAGONIST,(38 u'\\bssri');(13 u'\\bagonist');(12 u'\\bantagonist');(49 u'\\bdoi'),(11 u'(?i)\\b(cerebrals|cerebral)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(13 u'\\bantidepress'),
2003,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(2 u'(?i)\\b(females|female)\\b');(3 u'(?i)\\b(males|male)\\b'),Method.PET,(51 u'\\bway100635');(19 u'\\bpositron emission tomography'),,(7 u'\\bdepressi');(4 u'\\btreatment');(1 u'\\bpatient'),
2019,5ht2;5ht2;5ht2a;5ht2;5ht2;5ht2a;5ht2,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST,(13 u'\\bagonist'),,(9 u'\\bstress');(5 u'\\btherap');(2 u'\\bdisorder'),
1998,5ht2a;5ht2a,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(41 u'\\bhaloperidol');(50 u'\\bm100907');(23 u'\\bmdl');(12 u'\\bantagonist');(40 u'\\bclozapine'),(21 u'(?i)\\b(mpfcs|mpfc)\\b');(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(14 u'\\bcogniti');(22 u'\\bschizophreni');(5 u'\\btherap');(23 u'\\bantipsychotic'),
1996,5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(11 u'\\bfluoxetine');(12 u'\\bantagonist'),,,
1990,5ht3,(1 u'(?i)\\b(mice|mouse)\\b'),Method.ANTAGONIST,(20 u'\\bondansetron');(16 u'\\bdiazepam');(12 u'\\bantagonist'),(11 u'(?i)\\b(cerebrals|cerebral)\\b');(12 u'(?i)\\b(amygdalas|amygdala)\\b'),(4 u'\\btreatment');(26 u'\\bbehav'),
2012,5ht1a,(6 u'(?i)\\b(rodents|rodent)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),,(11 u'\\bfluoxetine');(38 u'\\bssri'),,(26 u'\\bbehav');(34 u'\\bparkinson');(20 u'\\bmood');(7 u'\\bdepressi');(3 u'\\bclinical');(8 u'\\banxi');(4 u'\\btreatment');(14 u'\\bcogniti');(5 u'\\btherap'),
2000,5ht1b;5ht1d,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(27 u'\\blsd');(13 u'\\bagonist');(47 u'\\bsumatriptan'),,(7 u'\\bdepressi');(5 u'\\btherap'),
1998,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.PET;Method.AGONIST,(15 u'\\b8ohdpat');(54 u'\\bautoradiography');(18 u'\\bimaging');(13 u'\\bagonist');(17 u'\\bpet'),(13 u'(?i)\\b(septums|septum)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b');(9 u'(?i)\\b(cerebellums|cerebellum)\\b'),(26 u'\\bbehav'),
2019,5ht2a;5ht2a;5ht2a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist'),(11 u'(?i)\\b(cerebrals|cerebral)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(3 u'\\bclinical');(26 u'\\bbehav'),
1991,5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(24 u'\\bgepirone');(13 u'\\bagonist'),(16 u'(?i)\\b(drns|drn)\\b');(23 u'(?i)\\b(forebrains|forebrain)\\b'),(26 u'\\bbehav');(29 u'\\bhyperactiv'),
1993,5ht1a;5ht1a;5ht2;5ht1a;5ht1a;5ht1a;5ht1a;5ht2;5ht2;5ht2;5ht2;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist');(49 u'\\bdoi'),(19 u'(?i)\\b(cortexes|cortex)\\b'),(4 u'\\btreatment');(26 u'\\bbehav');(13 u'\\bantidepress');(1 u'\\bpatient'),
2008,5ht1a,(2 u'(?i)\\b(females|female)\\b');(3 u'(?i)\\b(males|male)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.KNOCKOUT,,(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),(6 u'\\baggressi');(8 u'\\banxi');(26 u'\\bbehav'),
